year,home_team,away_team,home_points,away_points,neutral,home_avg_rank,home_avg_points,away_avg_rank,away_avg_points,home_ppa_return,home_usage_return,away_ppa_return,away_usage_return,rank_diff,points_diff,ppa_return_diff,usage_return_diff,home_win
2014,South Carolina,Texas A&M,28,52,0,21.5,231.815,18.75,237.70999999999998,0.533,0.57,0.227,0.28,-2.75,-5.894999999999982,0.30600000000000005,0.2899999999999999,0
2014,UCF,Penn State,24,26,1,69.75,150.095,31.0,209.84,0.442,0.334,0.539,0.85,-38.75,-59.745000000000005,-0.09700000000000003,-0.516,0
2014,Virginia,UCLA,20,28,0,37.75,204.2025,20.0,240.03500000000003,0.748,0.926,0.912,0.882,-17.75,-35.83250000000004,-0.16400000000000003,0.04400000000000004,0
2014,Alabama,West Virginia,33,23,1,1.75,303.83,37.25,194.9325,0.574,0.589,0.704,0.683,35.5,108.89749999999998,-0.13,-0.09400000000000008,1
2014,Auburn,Arkansas,45,21,0,8.0,271.8725,28.0,217.03750000000002,0.807,0.68,0.667,0.856,20.0,54.83499999999998,0.14,-0.17599999999999993,1
2014,Georgia,Clemson,45,21,0,9.75,268.0,18.0,244.79,0.513,0.528,0.288,0.288,8.25,23.210000000000008,0.22500000000000003,0.24000000000000005,1
2014,Oklahoma State,Florida State,31,37,1,29.0,209.81500000000003,6.25,280.31,0.431,0.472,0.617,0.621,-22.75,-70.49499999999998,-0.186,-0.14900000000000002,0
2014,LSU,Wisconsin,28,24,1,9.0,268.5225,48.75,180.06000000000003,0.118,0.25,0.468,0.617,39.75,88.46249999999995,-0.35000000000000003,-0.367,1
2014,Louisville,Miami,31,13,0,38.0,198.47750000000002,17.75,241.70499999999998,0.378,0.373,0.408,0.456,-20.25,-43.227499999999964,-0.02999999999999997,-0.08300000000000002,1
2014,Boston College,Pittsburgh,20,30,0,59.75,163.5025,42.0,189.39,0.199,0.181,0.494,0.548,-17.75,-25.88749999999999,-0.295,-0.36700000000000005,0
2014,Iowa State,Kansas State,28,32,0,64.25,160.9975,66.0,156.14499999999998,0.792,0.788,0.743,0.506,1.75,4.8525000000000205,0.049000000000000044,0.28200000000000003,0
2014,Stanford,USC,10,13,0,26.5,224.13500000000002,6.75,278.08500000000004,0.889,0.568,0.706,0.759,-19.75,-53.95000000000002,0.18300000000000005,-0.19100000000000006,0
2014,Vanderbilt,Ole Miss,3,41,0,43.0,189.4675,25.0,229.08999999999997,0.081,0.429,0.625,0.749,-18.0,-39.622499999999974,-0.544,-0.32,0
2014,Oregon,Michigan State,46,27,0,14.25,246.595,31.25,207.28000000000003,0.707,0.807,1.016,0.969,17.0,39.31499999999997,-0.30900000000000005,-0.16199999999999992,1
2014,Texas,BYU,7,41,0,6.25,282.69,59.75,164.1775,0.538,0.565,0.552,0.861,53.5,118.51249999999999,-0.014000000000000012,-0.29600000000000004,0
2014,Notre Dame,Michigan,31,0,0,11.5,261.57,14.25,253.14,0.457,0.627,0.658,0.696,2.75,8.430000000000007,-0.201,-0.06899999999999995,1
2014,Ohio State,Virginia Tech,21,35,0,7.75,276.3325,26.25,214.815,0.62,0.571,0.555,0.459,18.5,61.517499999999984,0.06499999999999995,0.11199999999999993,0
2014,BYU,Houston,33,25,0,59.75,164.1775,60.25,166.695,0.552,0.861,0.84,0.884,0.5,-2.517499999999984,-0.2879999999999999,-0.02300000000000002,1
2014,Missouri,UCF,38,10,0,38.25,197.3425,69.75,150.095,0.312,0.373,0.442,0.334,31.5,47.2475,-0.13,0.03899999999999998,1
2014,Maryland,West Virginia,37,40,0,41.0,191.6775,37.25,194.9325,0.879,0.946,0.704,0.683,-3.75,-3.2549999999999955,0.17500000000000004,0.2629999999999999,0
2014,Virginia,Louisville,23,21,0,37.75,204.2025,38.0,198.47750000000002,0.748,0.926,0.378,0.373,0.25,5.724999999999966,0.37,0.553,1
2014,South Carolina,Georgia,38,35,0,21.5,231.815,9.75,268.0,0.533,0.57,0.513,0.528,-11.75,-36.185,0.020000000000000018,0.041999999999999926,1
2014,Texas Tech,Arkansas,28,49,0,32.5,210.18,28.0,217.03750000000002,0.46,0.56,0.667,0.856,-4.5,-6.857500000000016,-0.20700000000000002,-0.29599999999999993,0
2014,Duke,Kansas,41,3,0,67.25,158.78000000000003,58.5,166.255,0.782,0.728,0.77,0.322,-8.75,-7.474999999999966,0.01200000000000001,0.40599999999999997,1
2014,Iowa,Iowa State,17,20,0,39.5,197.455,64.25,160.9975,0.825,0.952,0.792,0.788,24.75,36.45750000000001,0.03299999999999992,0.16399999999999992,0
2014,Washington,Illinois,44,19,0,21.25,228.4925,53.0,175.60750000000002,0.284,0.306,0.262,0.387,31.75,52.88499999999999,0.021999999999999964,-0.08100000000000002,1
2014,TCU,Minnesota,30,7,0,34.75,203.44000000000003,58.75,166.6825,0.565,0.592,0.624,0.652,24.0,36.75750000000002,-0.05900000000000005,-0.06000000000000005,1
2014,Notre Dame,Purdue,30,14,1,11.5,261.57,59.5,166.63500000000002,0.457,0.627,0.862,0.748,48.0,94.93499999999997,-0.40499999999999997,-0.121,1
2014,Florida,Kentucky,36,30,0,4.5,291.255,42.25,189.77,0.436,0.639,0.537,0.525,37.75,101.48499999999999,-0.10100000000000003,0.11399999999999999,1
2014,Rutgers,Penn State,10,13,0,38.5,199.75,31.0,209.84,0.566,0.792,0.539,0.85,-7.5,-10.090000000000003,0.026999999999999913,-0.05799999999999994,0
2014,Oklahoma,Tennessee,34,10,0,11.5,259.34499999999997,16.25,245.5525,0.585,0.522,0.799,0.649,4.75,13.792499999999961,-0.21400000000000008,-0.127,1
2014,Boston College,USC,37,31,0,59.75,163.5025,6.75,278.08500000000004,0.199,0.181,0.706,0.759,-53.0,-114.58250000000004,-0.5069999999999999,-0.5780000000000001,1
2014,Texas,UCLA,17,20,1,6.25,282.69,20.0,240.03500000000003,0.538,0.565,0.912,0.882,13.75,42.65499999999997,-0.374,-0.31700000000000006,0
2014,Kansas State,Auburn,14,20,0,66.0,156.14499999999998,8.0,271.8725,0.743,0.506,0.807,0.68,-58.0,-115.72750000000002,-0.06400000000000006,-0.17400000000000004,0
2014,Pittsburgh,Iowa,20,24,0,42.0,189.39,39.5,197.455,0.494,0.548,0.825,0.952,-2.5,-8.065000000000026,-0.33099999999999996,-0.4039999999999999,0
2014,Virginia Tech,Georgia Tech,24,27,0,26.25,214.815,52.25,177.20250000000001,0.555,0.459,0.441,0.367,26.0,37.61249999999998,0.11400000000000005,0.09200000000000003,0
2014,Syracuse,Maryland,20,34,0,63.0,162.57999999999998,41.0,191.6775,0.886,0.593,0.879,0.946,-22.0,-29.097500000000025,0.007000000000000006,-0.353,0
2014,Alabama,Florida,42,21,0,1.75,303.83,4.5,291.255,0.574,0.589,0.436,0.639,2.75,12.574999999999989,0.13799999999999996,-0.050000000000000044,1
2014,BYU,Virginia,41,33,0,59.75,164.1775,37.75,204.2025,0.552,0.861,0.748,0.926,-22.0,-40.02499999999998,-0.19599999999999995,-0.06500000000000006,1
2014,Michigan,Utah,10,26,0,14.25,253.14,41.25,192.6225,0.658,0.696,0.66,0.68,27.0,60.517499999999984,-0.0020000000000000018,0.015999999999999903,0
2014,Missouri,Indiana,27,31,0,38.25,197.3425,57.75,172.2175,0.312,0.373,0.446,0.546,19.5,25.125,-0.134,-0.17300000000000004,0
2014,LSU,Mississippi State,29,34,0,9.0,268.5225,29.25,208.1175,0.118,0.25,0.91,0.737,20.25,60.40499999999997,-0.792,-0.487,0
2014,West Virginia,Oklahoma,33,45,0,37.25,194.9325,11.5,259.34499999999997,0.704,0.683,0.585,0.522,-25.75,-64.41249999999997,0.119,0.16100000000000003,0
2014,Vanderbilt,South Carolina,34,48,0,43.0,189.4675,21.5,231.815,0.081,0.429,0.533,0.57,-21.5,-42.3475,-0.452,-0.14099999999999996,0
2014,Florida State,Clemson,23,17,0,6.25,280.31,18.0,244.79,0.617,0.621,0.288,0.288,11.75,35.52000000000001,0.329,0.333,1
2014,Nebraska,Miami,41,31,0,24.0,224.9475,17.75,241.70499999999998,0.556,0.666,0.408,0.456,-6.25,-16.757499999999993,0.14800000000000008,0.21000000000000002,1
2014,Oklahoma State,Texas Tech,45,35,0,29.0,209.81500000000003,32.5,210.18,0.431,0.472,0.46,0.56,3.5,-0.3649999999999807,-0.029000000000000026,-0.08800000000000008,1
2014,Purdue,Iowa,10,24,0,59.5,166.63500000000002,39.5,197.455,0.862,0.748,0.825,0.952,-20.0,-30.819999999999993,0.03700000000000003,-0.20399999999999996,0
2014,Kentucky,Vanderbilt,17,7,0,42.25,189.77,43.0,189.4675,0.537,0.525,0.081,0.429,0.75,0.3025000000000091,0.456,0.09600000000000003,1
2014,Georgia,Tennessee,35,32,0,9.75,268.0,16.25,245.5525,0.513,0.528,0.799,0.649,6.5,22.44749999999999,-0.28600000000000003,-0.121,1
