team,year,avg_rank,avg_points,ppa_return,usage_return
Air Force,2011,120.0,26.17,,
Air Force,2012,104.5,52.015,,
Air Force,2013,98.33333333333333,75.14,,
Air Force,2014,100.5,83.04,,
Air Force,2015,98.5,100.9425,,
Air Force,2016,107.0,105.9825,,
Air Force,2017,114.0,103.36000000000001,,
Air Force,2018,114.5,105.64500000000001,,
Air Force,2019,117.0,108.82749999999999,,
Air Force,2020,113.0,117.94749999999999,,
Air Force,2021,111.25,125.75,,
Air Force,2022,106.5,132.82,,
Air Force,2023,104.5,132.7225,,
Akron,2011,102.0,136.89,,
Akron,2012,108.0,93.595,,
Akron,2013,112.33333333333333,85.76333333333332,,
Akron,2014,113.0,88.7325,,
Akron,2015,115.75,78.8425,,
Akron,2016,119.0,86.86249999999998,,
Akron,2017,121.75,89.91,,
Akron,2018,125.75,87.72749999999999,,
Akron,2019,129.25,90.5975,,
Akron,2020,126.0,102.56,,
Akron,2021,124.25,114.35749999999999,,
Akron,2022,121.25,120.4425,,
Akron,2023,121.25,113.66499999999999,,
Alabama,2011,4.0,284.2,,
Alabama,2012,2.5,291.35,,
Alabama,2013,2.0,298.6066666666666,,
Alabama,2014,1.75,303.83,0.574,0.589
Alabama,2015,1.0,312.7075,0.222,0.251
Alabama,2016,1.0,315.85749999999996,0.341,0.279
Alabama,2017,1.0,313.08750000000003,0.731,0.791
Alabama,2018,1.0,314.18,0.777,0.756
Alabama,2019,2.0,306.73749999999995,0.696,0.632
Alabama,2020,2.0,308.33750000000003,0.501,0.593
Alabama,2021,2.25,310.4375,0.192,0.26
Alabama,2022,2.25,311.4475,0.552,0.586
Alabama,2023,1.5,319.52500000000003,0.396,0.388
Alabama A&M,2016,186.0,9.99,,
Alabama A&M,2017,214.0,9.205,,
Alabama A&M,2018,221.5,15.125,,
Alabama A&M,2019,223.0,12.743333333333332,,
Alabama A&M,2021,218.66666666666666,13.806666666666667,,
Alabama A&M,2022,206.0,11.65,,
Alabama State,2014,196.0,8.12,,
Alabama State,2015,181.5,14.105,,
Alabama State,2016,193.0,12.726666666666667,,
